Occipital,LeftTemp,FrontCent
0.0407299807683951,0.0329062185939073,0.0103878400638892
0.0281337899231815,0.00161377801807203,0.000772635619961131
0.0244886445762968,0.014876130971535,-0.000925570340888134
0.0656364520940462,0.00744962131021697,0.0010444472764752
0.0490927471890009,-0.0170673447799494,-0.00245182546037397
0.0309990407933936,-0.000352368169766248,-0.00282313511994426
0.0889483579565742,0.008920007137064,0.0198334840299013
0.0305450349189478,-0.00995378910540968,0.0109192933318365
0.0118541245290216,-9.00405793903726e-05,-0.00184772904438313
0.067352441206227,0.0891058236803757,0.0234714405577072
0.015455971918827,0.00914892745975366,0.00581990347909036
0.0775601562782676,0.0020513185098257,0.0209705569720213
0.081277749883799,-0.00197682663677685,0.0266273549569792
0.104796481709366,-0.00160361541197704,0.00762175662830354
0.020648309291956,0.000687659870312202,0.00693088730444135
0.109974104276261,-0.00677539957459348,0.0150284258962245
0.0511789475686314,0.00945116953180182,0.0102748229301564
0.0341078940302645,-0.0043969964231288,0.0224492675241983
0.0421909922438523,-0.00772652290329331,0.0111217764237371
0.0458625263489357,0.00252630936083178,0.0239187991189199
0.084328500426228,-5.96761148357408e-05,-0.0167927377450522
