LeftFusi,RightFusi
0.0156965575116764,0.139292991977272
0.0800967482792108,0.0955215995069029
-0.0225456759501277,0.0109545420954564
0.0133913424320028,0.0391242213745174
0.0585651453131412,0.0714477942592011
0.0459110721692756,-0.0282752069740249
0.0677722520356845,0.0374166808609495
0.0849921688732951,0.109040510347626
0.0348590888022495,0.0398773907016847
0.00697770752647397,0.0149496544633006
0.0151321888843022,0.0459927039704891
0.0171009862585902,0.0321300885290894
0.0416932512570175,0.0320844074285004
-0.0385641764574644,0.00670155138757073
0.0402894304055029,0.12499813300965
-0.0254211065576145,0.0195422181639494
0.0150493886974022,0.0546256481545175
-0.00871399526480833,-0.0155096474644465
0.0810604110185996,0.0889233889393029
0.070631638182015,0.0581754885789621
-0.0326427943663348,0.018292475441637
