signal,subject,freq,condition
-0.0391815975201198,1,3,1
-0.22520015339545,2,3,1
0.0200612105860259,3,3,1
0.116357221710949,4,3,1
-0.153826925023869,5,3,1
0.100181381947847,6,3,1
-0.028556664340659,7,3,1
-0.202709885773533,8,3,1
-0.386475806202676,9,3,1
0.165751659595545,10,3,1
0.31556392089491,11,3,1
0.0930774810829751,12,3,1
0.0594959249628254,13,3,1
0.0141186206950743,14,3,1
0.0854919828244665,15,3,1
-0.300317885243572,16,3,1
-0.0494245291294111,17,3,1
0.0878202140932052,18,3,1
-0.0991797181501045,19,3,1
-0.0319483575901398,20,3,1
0.11412891564627,21,3,1
-0.0265873470819541,1,3.5,1
-0.183449326599782,2,3.5,1
0.0177940668884294,3,3.5,1
0.107945514451185,4,3.5,1
-0.124066807212898,5,3.5,1
0.158890294473546,6,3.5,1
-0.0328989229854204,7,3.5,1
-0.228204105052898,8,3.5,1
-0.330669854196208,9,3.5,1
0.0205247022371897,10,3.5,1
0.320769000435949,11,3.5,1
0.0850087845276736,12,3.5,1
0.057989743299968,13,3.5,1
-0.0122440070343058,14,3.5,1
0.143328057448514,15,3.5,1
-0.279074811896927,16,3.5,1
0.0897183664871895,17,3.5,1
0.138548072531819,18,3.5,1
-0.0778279493565355,19,3.5,1
-0.0461509547255062,20,3.5,1
0.068198679290604,21,3.5,1
0.0200168112653196,1,4,1
-0.133500968103872,2,4,1
0.0175404915296205,3,4,1
0.0939228755316458,4,4,1
-0.0536489078604964,5,4,1
0.22064178253386,6,4,1
-0.0246513009083053,7,4,1
-0.20580678356937,8,4,1
-0.249925301721242,9,4,1
-0.172637905251424,10,4,1
0.281889088539641,11,4,1
0.085061401991346,12,4,1
0.0689855913049456,13,4,1
-0.0450596912322034,14,4,1
0.20740889210996,15,4,1
-0.240010316034252,16,4,1
0.258706940697239,17,4,1
0.199517093520162,18,4,1
-0.0670670420008938,19,4,1
-0.0613323605154407,20,4,1
0.0217116978945443,21,4,1
0.0854722699621386,1,4.5,1
-0.0975685153089813,2,4.5,1
0.0224741510920863,3,4.5,1
0.0804910368711951,4,4.5,1
0.0136607275240716,5,4.5,1
0.266392757181367,6,4.5,1
0.00296317882180595,7,4.5,1
-0.150505588430895,8,4.5,1
-0.153940243982249,9,4.5,1
-0.307229076414048,10,4.5,1
0.183967298853693,11,4.5,1
0.0845651483753486,12,4.5,1
0.0922247755430715,13,4.5,1
-0.065382815834732,14,4.5,1
0.223309770393727,15,4.5,1
-0.202725458675264,16,4.5,1
0.389362440228929,17,4.5,1
0.24418591821225,18,4.5,1
-0.0678695836331976,19,4.5,1
-0.0772917300653052,20,4.5,1
0.00100528411729448,21,4.5,1
0.140986654843965,1,5,1
-0.077341999755871,2,5,1
0.0332700741721913,3,5,1
0.0724109598361385,4,5,1
0.0636490863990638,5,5,1
0.309163404830223,6,5,1
0.0504576444149028,7,5,1
-0.068680644800326,8,5,1
-0.0709881401647989,9,5,1
-0.392437508939066,10,5,1
0.0772005430960731,11,5,1
0.067481774685665,12,5,1
0.111697415834421,13,5,1
-0.069367579299849,14,5,1
0.14946492748898,15,5,1
-0.181446619403806,16,5,1
0.443362132118106,17,5,1
0.258233399355217,18,5,1
-0.0704092466884801,19,5,1
-0.0939078280544499,20,5,1
0.0104298206823359,21,5,1
0.165589054898167,1,5.5,1
-0.0694715575293051,2,5.5,1
0.0497145366726557,3,5.5,1
0.0612889855082347,4,5.5,1
0.107733904977709,5,5.5,1
0.348778410018494,6,5.5,1
0.103851055349861,7,5.5,1
0.0272758226080226,8,5.5,1
-0.0368737673637219,9,5.5,1
-0.443329558872961,10,5.5,1
-0.00834650987929807,11,5.5,1
0.0350023959368878,12,5.5,1
0.116712229804042,13,5.5,1
-0.0677694671257416,14,5.5,1
0.0285062410672991,15,5.5,1
-0.17810242765786,16,5.5,1
0.417598226191601,17,5.5,1
0.243234719544387,18,5.5,1
-0.0582642756927378,19,5.5,1
-0.112243895883725,20,5.5,1
