signal,subject,time,condition
-0.312359311736919,1,-0.5,1
-0.115838002113787,2,-0.5,1
-0.00714906883208326,3,-0.5,1
-0.0641310744480244,4,-0.5,1
0.282351344565076,5,-0.5,1
0.0703962590511818,6,-0.5,1
0.180727847286169,7,-0.5,1
-0.363862425964314,8,-0.5,1
0.149730743046949,9,-0.5,1
0.239144564210942,10,-0.5,1
-0.3171315036567,11,-0.5,1
0.0445549430341569,12,-0.5,1
0.108544422916797,13,-0.5,1
-0.0940977481214241,14,-0.5,1
0.107122476225337,15,-0.5,1
-0.108530960807979,16,-0.5,1
0.110129550275621,17,-0.5,1
0.13118444475347,18,-0.5,1
-0.0428486626742052,19,-0.5,1
0.0942334803843683,20,-0.5,1
-0.11293846541994,21,-0.5,1
-0.280777497306633,1,-0.45,1
-0.145877358500307,2,-0.45,1
0.00456253121398257,3,-0.45,1
-0.0553324293253132,4,-0.45,1
0.195555112977041,5,-0.45,1
0.0270226712834622,6,-0.45,1
0.166991750336042,7,-0.45,1
-0.290160517484106,8,-0.45,1
0.172578106391984,9,-0.45,1
0.176451562513858,10,-0.45,1
-0.316386491666039,11,-0.45,1
0.0458952434180628,12,-0.45,1
0.123258435491122,13,-0.45,1
-0.0750513252525414,14,-0.45,1
0.0279744123022186,15,-0.45,1
-0.18802336340998,16,-0.45,1
0.116684405389348,17,-0.45,1
0.118938708348162,18,-0.45,1
-0.00883587429729033,19,-0.45,1
0.0699502879923917,20,-0.45,1
-0.1434718499468,21,-0.45,1
-0.198991570969039,1,-0.4,1
-0.202135654957666,2,-0.4,1
0.0291032629324546,3,-0.4,1
-0.0399172475771361,4,-0.4,1
0.0133914218226031,5,-0.4,1
-0.0544111443134506,6,-0.4,1
0.0876919347414282,7,-0.4,1
-0.131573009851746,8,-0.4,1
0.221620730509426,9,-0.4,1
0.047416719631822,10,-0.4,1
-0.223938668605022,11,-0.4,1
0.0490184892022053,12,-0.4,1
0.085663199761991,13,-0.4,1
0.0126646662722263,14,-0.4,1
-0.207373991030307,15,-0.4,1
-0.270465006825984,16,-0.4,1
0.102111740603735,17,-0.4,1
0.0758668772836685,18,-0.4,1
0.0641380223587565,19,-0.4,1
0.00821413777350979,20,-0.4,1
-0.145662830069342,21,-0.4,1
-0.0250974565308963,1,-0.35,1
-0.247568837293889,2,-0.35,1
0.0375600152318071,3,-0.35,1
-0.027811683240195,4,-0.35,1
-0.163778125629075,5,-0.35,1
-0.111967861703844,6,-0.35,1
-0.0158496168388408,7,-0.35,1
0.03831887877219,8,-0.35,1
0.206533734306546,9,-0.35,1
-0.133866013964859,10,-0.35,1
0.0581434329285657,11,-0.35,1
0.00529393505832518,12,-0.35,1
-0.0604402530706188,13,-0.35,1
0.168061467557355,14,-0.35,1
-0.278844873418973,15,-0.35,1
-0.288230499917575,16,-0.35,1
0.0151105409297657,17,-0.35,1
-0.0159008619698651,18,-0.35,1
0.153966172751328,19,-0.35,1
-0.0545849164480894,20,-0.35,1
-0.0569827013067144,21,-0.35,1
0.0851434632570804,1,-0.3,1
-0.204740475017048,2,-0.3,1
0.00431961073551772,3,-0.3,1
-0.00814304816787452,4,-0.3,1
-0.162092070739637,5,-0.3,1
-0.115446999412108,6,-0.3,1
-0.0294293383899614,7,-0.3,1
0.15906384947872,8,-0.3,1
0.136266973804694,9,-0.3,1
-0.309229434645631,10,-0.3,1
0.288877260504682,11,-0.3,1
-0.0539210671146465,12,-0.3,1
-0.132745846542427,13,-0.3,1
0.239672970085352,14,-0.3,1
-0.260180935942361,15,-0.3,1
-0.271479550272061,16,-0.3,1
-0.0604058295588926,17,-0.3,1
-0.106389088489901,18,-0.3,1
0.185919722142956,19,-0.3,1
-0.0803194217940189,20,-0.3,1
0.0514861406225392,21,-0.3,1
0.127136128459518,1,-0.25,1
-0.0910237562356981,2,-0.25,1
-0.020239085377845,3,-0.25,1
0.0241309117282864,4,-0.25,1
-0.0359414609872197,5,-0.25,1
-0.080252639906856,6,-0.25,1
-0.0281353766264893,7,-0.25,1
0.182683605820933,8,-0.25,1
0.0908022070835846,9,-0.25,1
-0.44028095309894,10,-0.25,1
0.306398513392205,11,-0.25,1
-0.0775840522987093,12,-0.25,1
-0.150251244230102,13,-0.25,1
0.242032478673814,14,-0.25,1
-0.168137219307043,15,-0.25,1
-0.11941477575977,16,-0.25,1
-0.100884140784102,17,-0.25,1
-0.172362615531515,18,-0.25,1
0.188590465111099,19,-0.25,1
-0.0738384288491059,20,-0.25,1
0.162095749484447,21,-0.25,1
0.148053439374232,1,-0.2,1
0.0951596187098091,2,-0.2,1
-0.0133167249600725,3,-0.2,1
0.0427874648070034,4,-0.2,1
0.0353832921408248,5,-0.2,1
0.0156712746321865,6,-0.2,1
-0.0368994396903908,7,-0.2,1
0.0975061245121065,8,-0.2,1
0.00347171404964877,9,-0.2,1
-0.330533679751756,10,-0.2,1
0.294082791563278,11,-0.2,1
-0.111809550269327,12,-0.2,1
-0.113410370293404,13,-0.2,1
0.154475366700959,14,-0.2,1
-0.0220571334487252,15,-0.2,1
0.0801636065927253,16,-0.2,1
-0.0994770846471586,17,-0.2,1
-0.208260160639841,18,-0.2,1
0.0285233798212093,19,-0.2,1
-0.0372030302159189,20,-0.2,1
0.187133428658209,21,-0.2,1
0.153409087417579,1,-0.15,1
0.234362086623411,2,-0.15,1
0.00214192114917503,3,-0.15,1
0.0549099950886625,4,-0.15,1
0.0332681552083925,5,-0.15,1
0.118517944763453,6,-0.15,1
-0.0494289145907041,7,-0.15,1
0.0708113816947869,8,-0.15,1
-0.166420826961987,9,-0.15,1
-0.0805143129263269,10,-0.15,1
0.244402269937528,11,-0.15,1
-0.128208295736018,12,-0.15,1
-0.045116052612444,13,-0.15,1
-0.0805431526986552,14,-0.15,1
0.195078101337246,15,-0.15,1
0.219804570909172,16,-0.15,1
-0.064090280546691,17,-0.15,1
-0.129991367466217,18,-0.15,1
-0.101241342410107,19,-0.15,1
0.00227829963745735,20,-0.15,1
0.12146607061092,21,-0.15,1
0.145393054996471,1,-0.1,1
0.263111602075808,2,-0.1,1
-0.000264439054490595,3,-0.1,1
0.062603939388142,4,-0.1,1
-0.0489358520496921,5,-0.1,1
0.144265737760143,6,-0.1,1
-0.0979532373497442,7,-0.1,1
0.0657073308695216,8,-0.1,1
-0.237388621987033,9,-0.1,1
0.202472165972763,10,-0.1,1
0.0225366892172613,11,-0.1,1
-0.0721860698873677,12,-0.1,1
0.0394325491746085,13,-0.1,1
-0.200647255255361,14,-0.1,1
0.251482564046389,15,-0.1,1
0.316394805636991,16,-0.1,1
-0.0116946189608316,17,-0.1,1
0.00497434055757201,18,-0.1,1
-0.141501826320866,19,-0.1,1
0.0276351335706029,20,-0.1,1
0.0254515551047565,21,-0.1,1
0.104019948954446,1,-0.05,1
0.232841381739937,2,-0.05,1
-0.0163642731632524,3,-0.05,1
0.0319938373777027,4,-0.05,1
-0.0975783451713209,5,-0.05,1
0.0479930612921723,6,-0.05,1
-0.101853863882109,7,-0.05,1
0.0759160090123065,8,-0.05,1
-0.255337672094034,9,-0.05,1
0.313692785335264,10,-0.05,1
-0.14040840957103,11,-0.05,1
0.0714529229499262,12,-0.05,1
0.0756728509466728,13,-0.05,1
-0.202486900980285,14,-0.05,1
0.191900489775636,15,-0.05,1
0.326645402504077,16,-0.05,1
0.0102013731157491,17,-0.05,1
