1.8026,-0.62791
-0.52863,-0.9984
0.10216,-1.5118
-0.36149,-0.11092
0.85424,1.1734
-0.42966,-0.27765
-0.0066992,0.059067
0.080338,0.10507
0.7527,-1.1934
-0.40175,0.13039
0.62937,0.14897
-0.74193,1.2702
-0.53376,0.072153
0.65957,0.22195
-0.90774,-0.30043
-1.3225,-0.87224
-0.73123,0.54662
-1.8655,0.72148
-0.78834,-0.52685
1.0309,-0.43785
0.50861,-1.0748
1.5567,-0.69495
1.3504,-0.82376
-0.0079853,-0.46179
-0.38009,-0.13944
0.39705,3.0189
1.0579,0.67891
1.9676,-0.074882
0.035662,0.69799
-0.75088,0.55901
0.63376,-0.17165
0.50825,-0.49494
-0.10005,-0.58037
-1.9122,3.1816
-2.2461,-0.31021
0.088579,-0.90137
