perception,retrieval,forgotten,per_noBold,ret_noBold,ret_noConf
-0.149125186640663,-0.0948737316280792,-0.0111414380910959,-0.151712089118462,-0.0935692368931265,-0.103027958149529
-0.108788439107389,-0.116778776447087,-0.155839151108428,-0.112496175154723,-0.124508547827713,-0.137129005392475
3.52047483384782e-05,0.0335685076756054,0.0161770542563332,-0.0232254516817367,0.0361592372383907,0.0348270417079281
-0.189369968558895,-0.00430046399505549,0.0402840398483108,-0.210867249249285,0.00221896749949223,0.0667359246920489
-0.0303876136129903,-0.191791601124052,0.0976018784069758,-0.0425946750486155,-0.185601669562469,-0.171997990038773
-0.0552856088075682,0.0198811708743774,0.336967978494639,0.0105429988142791,0.010040397041812,0.0120527412706149
0.0796954893605491,-0.0382411562110722,0.1502857903897,0.0794010673051501,0.0358688097607957,-0.0459631354834387
-0.0187539237545404,0.161250807063575,-0.39236009190805,0.0181631066702846,0.161785231183706,0.175049861193619
-0.104030774000822,0.104162013966282,0.228400752475335,-0.102708899830328,0.0457671858654287,0.0953430491027329
-0.101464410410942,-0.030160488005204,-0.446044929512139,-0.106971192890889,-0.0302076591101585,-0.0391605509109354
-0.121028273547495,-0.0882019115862516,0.0137149878608986,-0.116368856460304,-0.0883300018799848,-0.0883116955253019
0.204871319044845,-0.254325895851894,-0.0539319320712392,0.184901618535801,-0.280966248270701,-0.235149721481369
-0.172455047194805,-0.105137845216682,0.0581720930411048,-0.158394097876791,0.0055658476527646,-0.103857302688107
0.0367192086828208,0.0418152535779196,-0.1045153144283,0.0421111341932767,0.0394988058791788,0.0413951987991752
-0.0429229457735958,-0.169740529471635,-0.118875365934082,-0.125334202342435,-0.147107639282667,-0.205576452437958
-0.0131560752580337,0.033009594151999,-0.411062438482919,0.0175387245696968,0.0375109616576695,0.0336542005182347
0.00343619778230368,-0.139296772135878,-0.307987805901289,0.00344324212295577,-0.240418236307243,-0.124637087435723
-0.00226101238502657,-0.201678546788852,0.295578552495711,-0.00211684722157612,-0.235488733404183,-0.222573635761005
0.0101965652171078,-0.0482275307052836,-0.0485752378029991,0.014215666897114,-0.0236657235089304,-0.0441807960690776
-0.0839963211558915,-0.0312997890628261,-0.253542155975629,-0.0953366311855204,-0.0327044580497024,-0.0613319497528214
0.071178780072722,-0.090101207470744,-0.192002429458085,-0.0348473988943097,-0.134607857122954,-0.104931817558119
