fusiform,parietal,leftFrontal,rightFrontal,leftIFG
-1.52501782943157,-1.49762676692813,-1.66705487884821,-1.92150363925754,-0.218207953214645
-2.17606092636272,-1.13441718845097,-1.06136114390627,-1.43787513128141,-0.650118803739548
-0.60151902222554,0.256951211031778,0.118750184203588,0.552917041204458,0.224915065407753
-0.965052608438561,-0.17984385923166,-0.853176156840017,-0.56802570610875,-0.227412803705782
-1.06209670277702,-0.686908775340606,-0.756896918399199,-0.50668932942719,-1.01984937620163
-1.64928924276882,-2.37042020490744,-0.90809370342899,-0.680512167059067,-2.08154839587212
-1.13843248662858,0.16110354082719,-1.00541362554077,-1.12787259370089,-0.448862213343382
-1.0917804773835,-1.83056128140953,-0.352099649187538,-0.373300618878225,-0.59035158264637
-0.938937535939598,-1.05935996130932,-0.732048112688766,-0.900038358911577,-0.162697963476181
-0.913564959305972,-0.760508357592933,-0.329242895477481,-0.504660371327546,0.557280697464943
-1.84338212430009,-0.902005125888469,-0.620212447318819,-0.703497214424537,0.579555282205343
-0.841997810729041,-0.448302803399963,-0.455231657672313,-0.512965235041409,-0.00266463735699654
-1.59758309331835,-2.52446461564924,-1.61075198506155,-1.03100419080839,0.194181167751551
-1.97697179072198,-0.704857949424407,-0.447829034149406,-0.232693079518291,-0.96425856462121
-3.03082152315222,-2.16627289289666,-0.542324329561163,-0.863323645666242,0.881568638503551
-1.83163123282361,-0.400155007631602,-0.908821903499624,-1.05542474351369,-0.120962795495987
-0.92144800367484,-0.764583185589387,-0.238327767129146,0.0269325712650287,0.841758541852236
-1.75996572728289,-0.563032531867981,-0.695531246282401,-0.668841542239174,-0.464104593604803
-0.69945591502067,0.115510681501241,-0.452004911588325,-0.20682438626522,0.985096572399139
-0.6293069914133,-0.262411440772589,-0.490562342708149,-0.977508252451879,-0.171713653087616
-1.80224398275473,-1.10077808297416,-0.467376543329127,-0.775330424036195,-0.886342024862766
