occipital,parietal
-1.05345519974568,-1.59363583995159
-0.144705961067529,0.170091749575032
-0.267787709064325,-0.592513280379218
-0.424973267109573,-0.697407344919305
-0.552790384404651,-0.790014016084633
-1.11434241879687,-0.490974556470593
-0.317156189802879,0.00882195289311714
-0.89928248024636,-1.29324370258769
-1.04715646173108,-0.886281026354016
-0.296445442765064,-0.373432055256481
-0.657124134377903,0.00196328659563564
-0.758639340276735,-0.483134129591155
-0.364679082490814,-0.106497119722325
-0.978643363164127,-0.641481203276144
-0.634600037147373,-0.889428552240133
-0.389659474588053,-0.433757292150065
-0.731645258270479,-1.26334242054889
-0.980870053974395,-1.92511836222784
-0.918559647262193,-0.707163232053782
-0.347235489799828,-1.10790650962397
-0.951258552539112,-0.805018310175212
