occipital,limbic
-0.0219197223098958,0.273230777367944
0.967484668972436,0.494911773441811
0.436155015523648,0.431231601790634
0.138020417679904,0.0513297208757336
0.02479834099267,0.210384105047071
1.34177620545763,0.379790949906091
-0.0394400763088214,-0.0956396333734481
0.589838073713822,0.16026302095056
1.19090048913134,0.703292047112972
0.602056298847666,0.318913111522402
1.01697310203203,0.520897142236143
0.480203064448708,-0.0160312089228834
0.608297898751922,0.212305667455968
0.12436655324256,0.0799577525439817
0.405705601658438,0.518838292200466
0.466395425952572,0.397689166539957
0.704965668930969,0.2431877666805
0.475703773393923,0.290369793620487
1.19581549856274,0.557497038585137
0.078324429843801,0.0779941486215326
0.0655839165675822,0.0801929898441621
