LeftHemi,RightHemi
0.139075503498056,0.0209658365706375
0.073851038486749,0.0953193132466027
-0.00110813968888846,-0.0210454712581693
0.0514429421458199,0.0280815353202683
0.0573420310558737,0.0664510562060725
-0.0246712304116738,0.0465974450725332
0.0418112021372096,0.0739205345945253
0.104560487580061,0.108237374661387
0.0223068856013335,0.0288313169299882
0.0353195933919916,0.0161964095728947
0.0643057158681472,0.015431891306744
0.0509544597126513,0.0287588945253967
0.0193792480855145,0.0374933992118677
0.0104882609618315,-0.0173463772447014
0.142506820706885,0.0471239815934903
0.0152022690109124,-0.0352359149252743
0.0620164174745604,0.00991252789623583
-0.0253137939850108,-0.0152048325981753
0.0818719195941842,0.0864963867734079
0.0671933578437755,0.0698296433492317
0.0333290771838793,-0.0145432831397946
