LeftTemp,RightTemp
0.00624779978530051,0.0158182559928187
0.0157465536862319,0.0108574336415693
0.0638332248116664,0.0304810800556744
0.0406824306734383,0.0295604992995738
0.0364780996045584,0.0652293920132538
0.0329798109060376,0.0451211108353538
0.0870288376042812,0.0919625852012196
0.0361490832285639,0.0186749028618096
0.00729368530112219,0.0147024466952964
0.0186839445628941,0.0145786443075592
0.00639010600533582,0.00867630971955525
0.0470038750176741,0.0485763562573318
0.0972429397018574,0.22684256327462
0.0745541639994653,0.0913067207828162
0.0101693708561766,0.012915789014063
-0.0124641366597379,0.00354838585238404
0.0127835445932539,0.00424607485264664
0.0234087759202592,0.0203617570849438
0.0470455707361369,0.0424527138354798
0.0974935268189334,0.0648368529461201
0.0383359322464506,0.0418164078419986
