leftFusiform,rightFusiform
-0.0202950628578711,0.0234077365845059
-0.000252122322115533,-0.0140409790680566
-0.00047187175893282,0.000785652055244638
-0.00123689928435393,0.021456430106918
0.0346215996919689,0.0225049655634022
0.0403069145428487,-0.0138245814944034
0.125825230011193,0.015025620717079
0.0506199263106677,0.0711558568346482
-0.00690906962329275,0.0192481743855315
0.0131077210880294,0.0191334018315507
0.00196303344516527,0.00218552398573284
0.0335421829640657,0.00434486753940534
0.11305365462798,0.00507080093106882
-0.0136148206279503,0.0242124484198475
0.0249279658522829,0.0215180891902534
-0.0468178608058923,0.0138352644393388
0.0074375929808764,0.0269270365564473
-0.0205230952280481,0.013178268156471
0.0313887004721882,0.0236184508011142
0.0748092642060835,0.00445865496338681
0.0305919656758468,0.0376102444221157
