hits,misses
-0.195511491779142,-0.096861293658512
-0.169991539477439,-0.141025951445318
0.061782352833142,-0.176944127378798
0.0795315240909895,0.252982722164646
-0.20320181137523,0.0422776362065178
-0.0349136399268895,-0.0823779158149775
-0.0828308044105894,0.120205578146601
-0.0388957397348114,-0.16648214321531
-0.126578166251261,0.276600023501025
0.226869150273429,-0.104078720637741
-0.0678706134394524,-0.398115144416179
-0.142481261729765,-0.364628543499572
-0.0924878939692054,0.0533706947343956
-0.20781189898263,0.218707636647308
-0.106442888498135,-0.298578986551976
-0.0780497135270297,-0.144069122169646
-0.122495642362741,-0.11626570843643
-0.126655611853013,0.0121073117928383
-0.0909387613153257,0.275911914467065
-0.038739590253179,-0.0816181406537582
0.0679473248995076,0.205685007160365
